Semana,Município,Casos
2025-07-13,ABDON BATISTA,0
2025-07-13,CAMBORIÚ,24
2025-07-13,LEBON RÉGIS,0
2025-07-13,SANTIAGO DO SUL,0
2025-07-13,ITAPEMA,11
2025-07-13,CAIBI,0
2025-07-13,MACIEIRA,0
2025-07-13,SANTA TEREZINHA DO PROGRESSO,0
2025-07-13,ITAPIRANGA,0
2025-07-13,SANTA TEREZINHA,0
2025-07-13,BRUSQUE,17
2025-07-13,MAJOR VIEIRA,0
2025-07-13,ITAPOÁ,48
2025-07-13,URUSSANGA,0
2025-07-13,ITUPORANGA,0
2025-07-13,BRAÇO DO NORTE,1
2025-07-13,MELEIRO,0
2025-07-13,SALTO VELOSO,0
2025-07-13,ITÁ,0
2025-07-13,BOTUVERÁ,0
2025-07-13,MIRIM DOCE,0
2025-07-13,SALTINHO,0
2025-07-13,ITAJAÍ,159
2025-07-13,IÇARA,0
2025-07-13,SANTO AMARO DA IMPERATRIZ,2
2025-07-13,CAMPO ALEGRE,0
2025-07-13,DONA EMMA,0
2025-07-13,SUL BRASIL,0
2025-07-13,IPUAÇU,0
2025-07-13,CANOINHAS,0
2025-07-13,ERMO,0
2025-07-13,SOMBRIO,0
2025-07-13,IPUMIRIM,0
2025-07-13,SERRA ALTA,0
2025-07-13,CANELINHA,3
2025-07-13,GRÃO-PARÁ,0
2025-07-13,IRACEMINHA,0
2025-07-13,SEARA,0
2025-07-13,IRANI,0
2025-07-13,CAMPOS NOVOS,1
2025-07-13,IBIAM,0
2025-07-13,SCHROEDER,7
2025-07-13,IRATI,0
2025-07-13,CAMPO ERÊ,0
2025-07-13,ITAIÓPOLIS,0
2025-07-13,SAUDADES,0
2025-07-13,IRINEÓPOLIS,0
2025-07-13,JACINTO MACHADO,0
2025-07-13,BOMBINHAS,42
2025-07-13,MONTE CARLO,0
2025-07-13,SALETE,0
2025-07-13,JUPIÁ,0
2025-07-13,BELMONTE,0
2025-07-13,PINHEIRO PRETO,0
2025-07-13,RANCHO QUEIMADO,0
2025-07-13,LACERDÓPOLIS,0
2025-07-13,BARRA VELHA,11
2025-07-13,PRESIDENTE CASTELLO BRANCO,0
2025-07-13,QUILOMBO,1
2025-07-13,LAGES,0
2025-07-13,PRINCESA,0
2025-07-13,BARRA BONITA,0
2025-07-13,RIO DAS ANTAS,0
2025-07-13,LAGUNA,0
2025-07-13,PRESIDENTE NEREU,0
2025-07-13,LAJEADO GRANDE,0
2025-07-13,BANDEIRANTE,0
2025-07-13,RIO DO CAMPO,0
2025-07-13,PRESIDENTE GETÚLIO,0
2025-07-13,LAURENTINO,0
2025-07-13,BALNEÁRIO RINCÃO,0
2025-07-13,RIO FORTUNA,0
2025-07-13,RIO DO OESTE,0
2025-07-13,PETROLÂNDIA,0
2025-07-13,BENEDITO NOVO,1
2025-07-13,JOSÉ BOITEUX,0
2025-07-13,JABORÁ,0
2025-07-13,BOM JESUS DO OESTE,0
2025-07-13,MONTE CASTELO,0
2025-07-13,ROMELÂNDIA,0
2025-07-13,JAGUARUNA,0
2025-07-13,BOM JESUS,0
2025-07-13,MORRO GRANDE,0
2025-07-13,RODEIO,0
2025-07-13,JARAGUÁ DO SUL,50
2025-07-13,RIQUEZA,0
2025-07-13,CAPINZAL,0
2025-07-13,BOM JARDIM DA SERRA,0
2025-07-13,JARDINÓPOLIS,0
2025-07-13,RIO NEGRINHO,0
2025-07-13,JOAÇABA,1
2025-07-13,BLUMENAU,70
2025-07-13,PEDRAS GRANDES,0
2025-07-13,RIO DOS CEDROS,0
2025-07-13,JOINVILLE,250
2025-07-13,BIGUAÇU,25
2025-07-13,PESCARIA BRAVA,0
2025-07-13,RIO DO SUL,0
2025-07-13,OTACÍLIO COSTA,0
2025-07-13,IPORÃ DO OESTE,0
2025-07-13,SÃO BENTO DO SUL,2
2025-07-13,CHAPADÃO DO LAGEADO,0
2025-07-13,GAROPABA,1
2025-07-13,CUNHATAÍ,0
2025-07-13,XAXIM,2
2025-07-13,TIJUCAS,27
2025-07-13,GARUVA,10
2025-07-13,TIGRINHOS,0
2025-07-13,CUNHA PORÃ,2
2025-07-13,ZORTÉA,0
2025-07-13,GASPAR,6
2025-07-13,TANGARÁ,0
2025-07-13,GOVERNADOR CELSO RAMOS,1
2025-07-13,CRICIÚMA,5
2025-07-13,ÁGUA DOCE,0
2025-07-13,TAIÓ,0
2025-07-13,GRAVATAL,0
2025-07-13,CORUPÁ,5
2025-07-13,ÁGUAS DE CHAPECÓ,0
2025-07-13,SÃO PEDRO DE ALCÂNTARA,1
2025-07-13,GUABIRUBA,1
2025-07-13,CORREIA PINTO,0
2025-07-13,ÁGUAS FRIAS,0
2025-07-13,TIMBÓ,6
2025-07-13,XAVANTINA,0
2025-07-13,CURITIBANOS,0
2025-07-13,GALVÃO,0
2025-07-13,FAXINAL DOS GUEDES,0
2025-07-13,ERVAL VELHO,0
2025-07-13,VARGEM BONITA,0
2025-07-13,URUBICI,0
2025-07-13,FLOR DO SERTÃO,0
2025-07-13,ENTRE RIOS,0
2025-07-13,VARGEÃO,0
2025-07-13,UNIÃO DO OESTE,0
2025-07-13,FLORIANÓPOLIS,115
2025-07-13,TUNÁPOLIS,0
2025-07-13,SÃO MIGUEL DO OESTE,1
2025-07-13,DOUTOR PEDRINHO,0
2025-07-13,FORMOSA DO SUL,0
2025-07-13,TUBARÃO,0
2025-07-13,FORQUILHINHA,0
2025-07-13,DIONÍSIO CERQUEIRA,0
2025-07-13,VIDEIRA,1
2025-07-13,TROMBUDO CENTRAL,1
2025-07-13,FRAIBURGO,0
2025-07-13,DESCANSO,0
2025-07-13,XANXERÊ,6
2025-07-13,TREZE TÍLIAS,0
2025-07-13,VIDAL RAMOS,0
2025-07-13,POUSO REDONDO,0
2025-07-13,GUARACIABA,0
2025-07-13,ÁGUAS MORNAS,0
2025-07-13,SÃO JOSÉ,100
2025-07-13,IMARUÍ,0
2025-07-13,CAÇADOR,7
2025-07-13,BOM RETIRO,0
2025-07-13,SÃO FRANCISCO DO SUL,15
2025-07-13,IMBITUBA,1
2025-07-13,SÃO DOMINGOS,0
2025-07-13,CAXAMBU DO SUL,1
2025-07-13,BRAÇO DO TROMBUDO,0
2025-07-13,IMBUIA,0
2025-07-13,SÃO CARLOS,0
2025-07-13,INDAIAL,5
2025-07-13,CATANDUVAS,0
2025-07-13,CALMON,0
2025-07-13,SÃO BONIFÁCIO,0
2025-07-13,IOMERÊ,0
2025-07-13,CAPÃO ALTO,0
2025-07-13,CAMPO BELO DO SUL,0
2025-07-13,SÃO BERNARDINO,0
2025-07-13,IPIRA,0
2025-07-13,CAPIVARI DE BAIXO,0
2025-07-13,BELA VISTA DO TOLDO,0
2025-07-13,CELSO RAMOS,0
2025-07-13,ILHOTA,5
2025-07-13,SÃO JOSÉ DO CEDRO,0
2025-07-13,SÃO MIGUEL DA BOA VISTA,0
2025-07-13,GUARAMIRIM,15
2025-07-13,CORONEL FREITAS,1
2025-07-13,AGROLÂNDIA,0
2025-07-13,SÃO LUDGERO,0
2025-07-13,GUARUJÁ DO SUL,0
2025-07-13,SÃO LOURENÇO DO OESTE,1
2025-07-13,CORDILHEIRA ALTA,0
2025-07-13,AGRONÔMICA,0
2025-07-13,GUATAMBÚ,0
2025-07-13,CORONEL MARTINS,0
2025-07-13,SÃO JOÃO DO OESTE,0
2025-07-13,CONCÓRDIA,1
2025-07-13,ANGELINA,0
2025-07-13,SÃO JOÃO DO ITAPERIÚ,0
2025-07-13,IBICARÉ,0
2025-07-13,COCAL DO SUL,0
2025-07-13,ARMAZÉM,0
2025-07-13,SÃO JOÃO BATISTA,1
2025-07-13,IBIRAMA,0
2025-07-13,CHAPECÓ,51
2025-07-13,BALNEÁRIO ARROIO DO SILVA,0
2025-07-13,HERVAL D'OESTE,1
2025-07-13,LAURO MÜLLER,0
2025-07-13,SANTA HELENA,0
2025-07-13,ALTO BELA VISTA,0
2025-07-13,MONDAÍ,0
2025-07-13,ARVOREDO,0
2025-07-13,PASSO DE TORRES,2
2025-07-13,PONTE ALTA,0
2025-07-13,PALMA SOLA,0
2025-07-13,NOVA ITABERABA,0
2025-07-13,SÃO CRISTÓVÃO DO SUL,0
2025-07-13,PALHOÇA,49
2025-07-13,LONTRAS,0
2025-07-13,PONTE SERRADA,0
2025-07-13,TIMBÓ GRANDE,0
2025-07-13,PLANALTO ALEGRE,0
2025-07-13,VARGEM,0
2025-07-13,SANTA CECÍLIA,0
2025-07-13,ARABUTÃ,0
2025-07-13,NOVA TRENTO,0
2025-07-13,BALNEÁRIO CAMBORIÚ,71
2025-07-13,PINHALZINHO,4
2025-07-13,MARACAJÁ,0
2025-07-13,MODELO,0
2025-07-13,PASSOS MAIA,0
2025-07-13,TURVO,0
2025-07-13,BALNEÁRIO BARRA DO SUL,12
2025-07-13,SANTA ROSA DE LIMA,0
2025-07-13,ANCHIETA,1
2025-07-13,ANTÔNIO CARLOS,5
2025-07-13,TREZE DE MAIO,0
2025-07-13,PAPANDUVA,0
2025-07-13,NAVEGANTES,22
2025-07-13,MORRO DA FUMAÇA,0
2025-07-13,ASCURRA,0
2025-07-13,SIDERÓPOLIS,0
2025-07-13,PARAÍSO,0
2025-07-13,SANTA ROSA DO SUL,0
2025-07-13,ANITÁPOLIS,0
2025-07-13,PAIAL,0
2025-07-13,TRÊS BARRAS,0
2025-07-13,SÃO MARTINHO,0
2025-07-13,LUZERNA,0
2025-07-13,POMERODE,1
2025-07-13,PALMITOS,0
2025-07-13,NOVA ERECHIM,0
2025-07-13,TREVISO,0
2025-07-13,PIRATUBA,0
2025-07-13,APIÚNA,0
2025-07-13,MAJOR GERCINO,0
2025-07-13,LUIZ ALVES,1
2025-07-13,AURORA,0
2025-07-13,NOVA VENEZA,0
2025-07-13,MAFRA,1
2025-07-13,ABELARDO LUZ,0
2025-07-13,SANGÃO,0
2025-07-13,BALNEÁRIO GAIVOTA,3
2025-07-13,BALNEÁRIO PIÇARRAS,3
2025-07-13,ORLEANS,0
2025-07-13,WITMARSUM,0
2025-07-13,OURO,0
2025-07-13,SÃO JOAQUIM,0
2025-07-13,TIMBÉ DO SUL,0
2025-07-13,OURO VERDE,0
2025-07-13,NOVO HORIZONTE,0
2025-07-13,PAULO LOPES,0
2025-07-13,PERITIBA,0
2025-07-13,MARAVILHA,3
2025-07-13,PORTO UNIÃO,3
2025-07-13,ARAQUARI,22
2025-07-13,ARROIO TRINTA,0
2025-07-13,RIO RUFINO,0
2025-07-13,PENHA,9
2025-07-13,ARARANGUÁ,2
2025-07-13,ALFREDO WAGNER,0
2025-07-13,MAREMA,0
2025-07-13,PORTO BELO,16
2025-07-13,VITOR MEIRELES,0
2025-07-13,LINDÓIA DO SUL,0
2025-07-13,LEOBERTO LEAL,0
2025-07-13,MASSARANDUBA,1
2025-07-27,SÃO JOÃO DO ITAPERIÚ,0
2025-07-27,SÃO JOÃO BATISTA,2
2025-07-27,CAPINZAL,0
2025-07-27,PAULO LOPES,0
2025-07-27,SÃO MARTINHO,0
2025-07-27,CELSO RAMOS,0
2025-07-27,ILHOTA,12
2025-07-27,TREVISO,0
2025-07-27,SÃO JOSÉ DO CEDRO,0
2025-07-27,ANTÔNIO CARLOS,4
2025-07-27,DONA EMMA,0
2025-07-27,MORRO DA FUMAÇA,0
2025-07-27,BALNEÁRIO ARROIO DO SILVA,0
2025-07-27,PARAÍSO,0
2025-07-27,ERMO,0
2025-07-27,IBICARÉ,0
2025-07-27,ARMAZÉM,0
2025-07-27,MAREMA,0
2025-07-27,IPUAÇU,0
2025-07-27,SOMBRIO,0
2025-07-27,COCAL DO SUL,0
2025-07-27,CHAPECÓ,66
2025-07-27,IBIRAMA,1
2025-07-27,CANOINHAS,0
2025-07-27,SUL BRASIL,0
2025-07-27,IOMERÊ,0
2025-07-27,SÃO JOSÉ,103
2025-07-27,IPIRA,0
2025-07-27,BRAÇO DO TROMBUDO,0
2025-07-27,IMBUIA,0
2025-07-27,TIMBÉ DO SUL,0
2025-07-27,SÃO CARLOS,0
2025-07-27,SÃO BERNARDINO,0
2025-07-27,TIMBÓ GRANDE,0
2025-07-27,ARABUTÃ,0
2025-07-27,MASSARANDUBA,1
2025-07-27,CATANDUVAS,0
2025-07-27,CALMON,0
2025-07-27,INDAIAL,14
2025-07-27,SÃO BONIFÁCIO,0
2025-07-27,CAPÃO ALTO,0
2025-07-27,CAMPO BELO DO SUL,0
2025-07-27,BELA VISTA DO TOLDO,0
2025-07-27,MODELO,0
2025-07-27,CAPIVARI DE BAIXO,0
2025-07-27,APIÚNA,0
2025-07-27,MONDAÍ,0
2025-07-27,IMARUÍ,0
2025-07-27,PASSOS MAIA,0
2025-07-27,IPORÃ DO OESTE,0
2025-07-27,SÃO FRANCISCO DO SUL,16
2025-07-27,CAXAMBU DO SUL,0
2025-07-27,CAÇADOR,5
2025-07-27,SÃO BENTO DO SUL,4
2025-07-27,CHAPADÃO DO LAGEADO,0
2025-07-27,BOM RETIRO,0
2025-07-27,PASSO DE TORRES,0
2025-07-27,IMBITUBA,2
2025-07-27,SÃO DOMINGOS,0
2025-07-27,LAURO MÜLLER,0
2025-07-27,ARAQUARI,16
2025-07-27,CORONEL FREITAS,0
2025-07-27,ANGELINA,0
2025-07-27,FORQUILHINHA,0
2025-07-27,TROMBUDO CENTRAL,0
2025-07-27,NOVA VENEZA,0
2025-07-27,FRAIBURGO,0
2025-07-27,DESCANSO,0
2025-07-27,VITOR MEIRELES,0
2025-07-27,XANXERÊ,7
2025-07-27,TREZE TÍLIAS,0
2025-07-27,ALFREDO WAGNER,0
2025-07-27,GALVÃO,0
2025-07-27,CURITIBANOS,0
2025-07-27,XAVANTINA,0
2025-07-27,TIMBÓ,6
2025-07-27,PAIAL,0
2025-07-27,GAROPABA,1
2025-07-27,TIJUCAS,25
2025-07-27,CUNHATAÍ,0
2025-07-27,NOVA TRENTO,0
2025-07-27,XAXIM,1
2025-07-27,VIDEIRA,9
2025-07-27,VARGEM,0
2025-07-27,OURO VERDE,0
2025-07-27,TUBARÃO,1
2025-07-27,ABDON BATISTA,0
2025-07-27,FAXINAL DOS GUEDES,0
2025-07-27,ERVAL VELHO,0
2025-07-27,ORLEANS,0
2025-07-27,VARGEM BONITA,0
2025-07-27,URUBICI,0
2025-07-27,FLOR DO SERTÃO,0
2025-07-27,UNIÃO DO OESTE,0
2025-07-27,ENTRE RIOS,0
2025-07-27,OURO,0
2025-07-27,VARGEÃO,0
2025-07-27,WITMARSUM,0
2025-07-27,FLORIANÓPOLIS,121
2025-07-27,TUNÁPOLIS,0
2025-07-27,DOUTOR PEDRINHO,0
2025-07-27,ABELARDO LUZ,0
2025-07-27,VIDAL RAMOS,0
2025-07-27,NOVO HORIZONTE,0
2025-07-27,FORMOSA DO SUL,0
2025-07-27,DIONÍSIO CERQUEIRA,0
2025-07-27,HERVAL D'OESTE,0
2025-07-27,GARUVA,17
2025-07-27,CUNHA PORÃ,2
2025-07-27,CORONEL MARTINS,0
2025-07-27,ÁGUAS MORNAS,1
2025-07-27,SÃO MIGUEL DA BOA VISTA,0
2025-07-27,PALMITOS,0
2025-07-27,TRÊS BARRAS,0
2025-07-27,GUARAMIRIM,11
2025-07-27,SÃO LUDGERO,1
2025-07-27,AGROLÂNDIA,0
2025-07-27,ANITÁPOLIS,0
2025-07-27,GUARUJÁ DO SUL,0
2025-07-27,SÃO LOURENÇO DO OESTE,2
2025-07-27,CORDILHEIRA ALTA,0
2025-07-27,NAVEGANTES,24
2025-07-27,AGRONÔMICA,0
2025-07-27,GUATAMBÚ,1
2025-07-27,SÃO JOÃO DO OESTE,0
2025-07-27,PAPANDUVA,0
2025-07-27,CONCÓRDIA,5
2025-07-27,TREZE DE MAIO,0
2025-07-27,GUARACIABA,0
2025-07-27,TIGRINHOS,0
2025-07-27,NOVA ERECHIM,0
2025-07-27,ÁGUAS FRIAS,2
2025-07-27,ALTO BELA VISTA,0
2025-07-27,ZORTÉA,0
2025-07-27,GASPAR,14
2025-07-27,TANGARÁ,0
2025-07-27,PALHOÇA,48
2025-07-27,CRICIÚMA,1
2025-07-27,NOVA ITABERABA,0
2025-07-27,ÁGUA DOCE,0
2025-07-27,GOVERNADOR CELSO RAMOS,4
2025-07-27,TAIÓ,0
2025-07-27,GRAVATAL,0
2025-07-27,CORUPÁ,15
2025-07-27,TURVO,0
2025-07-27,ÁGUAS DE CHAPECÓ,0
2025-07-27,SÃO PEDRO DE ALCÂNTARA,0
2025-07-27,ANCHIETA,0
2025-07-27,GUABIRUBA,0
2025-07-27,CORREIA PINTO,0
2025-07-27,PALMA SOLA,0
2025-07-27,SÃO MIGUEL DO OESTE,3
2025-07-27,IPUMIRIM,0
2025-07-27,URUSSANGA,0
2025-07-27,AURORA,0
2025-07-27,PINHEIRO PRETO,0
2025-07-27,LINDÓIA DO SUL,0
2025-07-27,SALTO VELOSO,0
2025-07-27,ASCURRA,0
2025-07-27,MAFRA,0
2025-07-27,ITÁ,0
2025-07-27,RANCHO QUEIMADO,0
2025-07-27,BOTUVERÁ,0
2025-07-27,BELMONTE,0
2025-07-27,SALTINHO,0
2025-07-27,PLANALTO ALEGRE,0
2025-07-27,IÇARA,0
2025-07-27,JUPIÁ,0
2025-07-27,BOMBINHAS,31
2025-07-27,MIRIM DOCE,0
2025-07-27,LACERDÓPOLIS,0
2025-07-27,ITUPORANGA,0
2025-07-27,MELEIRO,0
2025-07-27,ITAPIRANGA,0
2025-07-27,LAGES,1
2025-07-27,SANTA TEREZINHA,0
2025-07-27,BRUSQUE,10
2025-07-27,PIRATUBA,0
2025-07-27,MAJOR VIEIRA,0
2025-07-27,PRESIDENTE CASTELLO BRANCO,0
2025-07-27,ITAPOÁ,47
2025-07-27,JOAÇABA,3
2025-07-27,PORTO BELO,10
2025-07-27,BARRA VELHA,14
2025-07-27,QUILOMBO,0
2025-07-27,SANTA HELENA,0
2025-07-27,SIDERÓPOLIS,0
2025-07-27,BRAÇO DO NORTE,2
2025-07-27,PONTE SERRADA,1
2025-07-27,MAJOR GERCINO,0
2025-07-27,LUZERNA,0
2025-07-27,SALETE,0
2025-07-27,BIGUAÇU,25
2025-07-27,JARAGUÁ DO SUL,50
2025-07-27,JOINVILLE,252
2025-07-27,LONTRAS,0
2025-07-27,RIQUEZA,0
2025-07-27,BOM JARDIM DA SERRA,0
2025-07-27,LUIZ ALVES,1
2025-07-27,SANTA ROSA DE LIMA,0
2025-07-27,RIO DOS CEDROS,0
2025-07-27,JARDINÓPOLIS,0
2025-07-27,RIO NEGRINHO,0
2025-07-27,BALNEÁRIO BARRA DO SUL,13
2025-07-27,BLUMENAU,74
2025-07-27,PONTE ALTA,0
2025-07-27,OTACÍLIO COSTA,0
2025-07-27,PESCARIA BRAVA,0
2025-07-27,MORRO GRANDE,0
2025-07-27,RIO DO SUL,0
2025-07-27,RIO DO OESTE,0
2025-07-27,SANTA ROSA DO SUL,0
2025-07-27,JABORÁ,0
2025-07-27,PETROLÂNDIA,0
2025-07-27,BALNEÁRIO CAMBORIÚ,66
2025-07-27,BOM JESUS DO OESTE,0
2025-07-27,BENEDITO NOVO,1
2025-07-27,MONTE CASTELO,0
2025-07-27,JOSÉ BOITEUX,0
2025-07-27,ROMELÂNDIA,0
2025-07-27,JAGUARUNA,0
2025-07-27,RODEIO,2
2025-07-27,BOM JESUS,0
2025-07-27,POMERODE,2
2025-07-27,SANTA CECÍLIA,0
2025-07-27,MONTE CARLO,0
2025-07-27,PRINCESA,0
2025-07-27,SANGÃO,0
2025-07-27,PEDRAS GRANDES,0
2025-07-27,JACINTO MACHADO,0
2025-07-27,MARACAJÁ,0
2025-07-27,SCHROEDER,7
2025-07-27,CAMPO ALEGRE,0
2025-07-27,PORTO UNIÃO,0
2025-07-27,SEARA,1
2025-07-27,RIO FORTUNA,0
2025-07-27,BALNEÁRIO PIÇARRAS,3
2025-07-27,IRINEÓPOLIS,1
2025-07-27,MARAVILHA,0
2025-07-27,CAMPOS NOVOS,0
2025-07-27,RIO DO CAMPO,0
2025-07-27,PRESIDENTE NEREU,0
2025-07-27,ARROIO TRINTA,0
2025-07-27,MACIEIRA,0
2025-07-27,BALNEÁRIO RINCÃO,0
2025-07-27,LAJEADO GRANDE,0
2025-07-27,LAURENTINO,0
2025-07-27,IBIAM,0
2025-07-27,IRANI,0
2025-07-27,RIO RUFINO,0
2025-07-27,ITAIÓPOLIS,0
2025-07-27,CAMPO ERÊ,0
2025-07-27,IRATI,0
2025-07-27,SÃO JOAQUIM,0
2025-07-27,PERITIBA,0
2025-07-27,SAUDADES,0
2025-07-27,SANTO AMARO DA IMPERATRIZ,11
2025-07-27,BANDEIRANTE,0
2025-07-27,GRÃO-PARÁ,0
2025-07-27,ARVOREDO,0
2025-07-27,CAIBI,1
2025-07-27,SANTA TEREZINHA DO PROGRESSO,0
2025-07-27,BALNEÁRIO GAIVOTA,3
2025-07-27,BARRA BONITA,0
2025-07-27,SERRA ALTA,0
2025-07-27,CANELINHA,2
2025-07-27,ARARANGUÁ,1
2025-07-27,PENHA,7
2025-07-27,ITAPEMA,11
2025-07-27,ITAJAÍ,208
2025-07-27,SÃO CRISTÓVÃO DO SUL,0
2025-07-27,SANTIAGO DO SUL,0
2025-07-27,LEBON RÉGIS,0
2025-07-27,PRESIDENTE GETÚLIO,0
2025-07-27,POUSO REDONDO,0
2025-07-27,PINHALZINHO,3
2025-07-27,CAMBORIÚ,26
2025-07-27,IRACEMINHA,0
2025-07-27,LAGUNA,0
2025-07-27,LEOBERTO LEAL,0
2025-07-27,RIO DAS ANTAS,0
2025-08-03,GARUVA,6
2025-08-03,JOAÇABA,2
2025-08-03,POUSO REDONDO,0
2025-08-03,TIGRINHOS,0
2025-08-03,NOVA ITABERABA,0
2025-08-03,TANGARÁ,0
2025-08-03,GASPAR,7
2025-08-03,LAURENTINO,0
2025-08-03,ORLEANS,0
2025-08-03,RIO DO SUL,0
2025-08-03,RIO DOS CEDROS,0
2025-08-03,PALHOÇA,48
2025-08-03,LONTRAS,0
2025-08-03,JOINVILLE,243
2025-08-03,URUBICI,0
2025-08-03,FAXINAL DOS GUEDES,0
2025-08-03,PRINCESA,0
2025-08-03,JOSÉ BOITEUX,0
2025-08-03,PRESIDENTE NEREU,0
2025-08-03,LAGUNA,0
2025-08-03,TREZE TÍLIAS,0
2025-08-03,LACERDÓPOLIS,0
2025-08-03,QUILOMBO,0
2025-08-03,LEOBERTO LEAL,0
2025-08-03,TUNÁPOLIS,0
2025-08-03,NOVA VENEZA,0
2025-08-03,TROMBUDO CENTRAL,0
2025-08-03,FORQUILHINHA,0
2025-08-03,TUBARÃO,1
2025-08-03,PORTO BELO,8
2025-08-03,LAGES,0
2025-08-03,OURO VERDE,0
2025-08-03,FORMOSA DO SUL,0
2025-08-03,FLOR DO SERTÃO,0
2025-08-03,GALVÃO,0
2025-08-03,FLORIANÓPOLIS,118
2025-08-03,UNIÃO DO OESTE,0
2025-08-03,NOVA TRENTO,0
2025-08-03,PRESIDENTE GETÚLIO,0
2025-08-03,RIO DO OESTE,0
2025-08-03,LAJEADO GRANDE,0
2025-08-03,TIJUCAS,20
2025-08-03,TIMBÓ,6
2025-08-03,GAROPABA,1
2025-08-03,PONTE SERRADA,0
2025-08-03,NOVO HORIZONTE,0
2025-08-03,JUPIÁ,0
2025-08-03,RANCHO QUEIMADO,0
2025-08-03,PORTO UNIÃO,0
2025-08-03,LINDÓIA DO SUL,0
2025-08-03,PAIAL,0
2025-08-03,OURO,0
2025-08-03,SERRA ALTA,0
2025-08-03,TAIÓ,0
2025-08-03,SANTO AMARO DA IMPERATRIZ,5
2025-08-03,ITAJAÍ,181
2025-08-03,SANTIAGO DO SUL,0
2025-08-03,SÃO CARLOS,0
2025-08-03,IMBUIA,0
2025-08-03,PINHALZINHO,3
2025-08-03,MODELO,0
2025-08-03,SÃO DOMINGOS,0
2025-08-03,IMBITUBA,1
2025-08-03,MARACAJÁ,0
2025-08-03,ITAPEMA,9
2025-08-03,SANTA TEREZINHA DO PROGRESSO,0
2025-08-03,MAJOR GERCINO,0
2025-08-03,SÃO FRANCISCO DO SUL,13
2025-08-03,IMARUÍ,0
2025-08-03,ITAPIRANGA,0
2025-08-03,SANTA TEREZINHA,0
2025-08-03,SÃO JOSÉ,97
2025-08-03,ILHOTA,6
2025-08-03,PIRATUBA,0
2025-08-03,PASSO DE TORRES,0
2025-08-03,INDAIAL,7
2025-08-03,SÃO BONIFÁCIO,0
2025-08-03,IRINEÓPOLIS,0
2025-08-03,PENHA,4
2025-08-03,SOMBRIO,0
2025-08-03,IPUAÇU,0
2025-08-03,IRACEMINHA,0
2025-08-03,SEARA,1
2025-08-03,MAREMA,0
2025-08-03,MARAVILHA,1
2025-08-03,PAULO LOPES,0
2025-08-03,SUL BRASIL,0
2025-08-03,IPORÃ DO OESTE,0
2025-08-03,IRANI,0
2025-08-03,SCHROEDER,4
2025-08-03,SÃO BENTO DO SUL,4
2025-08-03,IPIRA,0
2025-08-03,IRATI,0
2025-08-03,SAUDADES,0
2025-08-03,SÃO BERNARDINO,0
2025-08-03,IOMERÊ,0
2025-08-03,MASSARANDUBA,2
2025-08-03,PERITIBA,0
2025-08-03,PASSOS MAIA,0
2025-08-03,MONDAÍ,0
2025-08-03,GOVERNADOR CELSO RAMOS,1
2025-08-03,ITAPOÁ,40
2025-08-03,SANTA HELENA,0
2025-08-03,IPUMIRIM,0
2025-08-03,SÃO LUDGERO,0
2025-08-03,GUARAMIRIM,9
2025-08-03,JAGUARUNA,0
2025-08-03,RODEIO,2
2025-08-03,POMERODE,2
2025-08-03,SÃO MIGUEL DA BOA VISTA,0
2025-08-03,GUARACIABA,0
2025-08-03,LUIZ ALVES,1
2025-08-03,ROMELÂNDIA,0
2025-08-03,NOVA ERECHIM,0
2025-08-03,PALMA SOLA,0
2025-08-03,JARAGUÁ DO SUL,53
2025-08-03,RIQUEZA,0
2025-08-03,GUABIRUBA,0
2025-08-03,SÃO PEDRO DE ALCÂNTARA,0
2025-08-03,GRAVATAL,0
2025-08-03,JARDINÓPOLIS,0
2025-08-03,RIO NEGRINHO,0
2025-08-03,PONTE ALTA,0
2025-08-03,SÃO MIGUEL DO OESTE,2
2025-08-03,JABORÁ,0
2025-08-03,PALMITOS,0
2025-08-03,GUARUJÁ DO SUL,0
2025-08-03,PARAÍSO,0
2025-08-03,MAFRA,0
2025-08-03,IBIRAMA,1
2025-08-03,SÃO JOÃO BATISTA,0
2025-08-03,IBICARÉ,0
2025-08-03,ITUPORANGA,0
2025-08-03,SALTO VELOSO,0
2025-08-03,MORRO DA FUMAÇA,0
2025-08-03,SÃO JOÃO DO ITAPERIÚ,0
2025-08-03,HERVAL D'OESTE,0
2025-08-03,ITÁ,0
2025-08-03,SALTINHO,0
2025-08-03,PAPANDUVA,0
2025-08-03,PLANALTO ALEGRE,0
2025-08-03,SÃO JOÃO DO OESTE,0
2025-08-03,GUATAMBÚ,2
2025-08-03,IÇARA,0
2025-08-03,LUZERNA,0
2025-08-03,SALETE,0
2025-08-03,NAVEGANTES,24
2025-08-03,SÃO LOURENÇO DO OESTE,1
2025-08-03,SÃO JOSÉ DO CEDRO,0
2025-08-03,LAURO MÜLLER,0
2025-08-03,FRAIBURGO,0
2025-08-03,BOTUVERÁ,0
2025-08-03,MELEIRO,0
2025-08-03,ANITÁPOLIS,0
2025-08-03,CHAPECÓ,54
2025-08-03,TRÊS BARRAS,0
2025-08-03,CONCÓRDIA,1
2025-08-03,BANDEIRANTE,0
2025-08-03,BALNEÁRIO BARRA DO SUL,9
2025-08-03,SANTA ROSA DE LIMA,0
2025-08-03,JACINTO MACHADO,0
2025-08-03,XAXIM,1
2025-08-03,CUNHATAÍ,0
2025-08-03,SANGÃO,0
